模型,範圍 (km),Sill,Range (m),Nugget,SSE,Nugget/Sill
Spherical,50,1.076,50000,0.120,6.51,0.111
Spherical,25,1.076,25000,0.120,6.69,0.111
Spherical,15,1.076,15000,0.120,6.99,0.111
Exponential,50,1.076,50000,0.120,6.57,0.111
Exponential,25,1.076,25000,0.120,6.78,0.111
Exponential,15,1.076,15000,0.120,7.01,0.111
